Fecha,Temporada,Cultivo,Parcela,Fase Productiva,Cantidad (kg),Precio por kg,Ingresos generados,Costo Total,Rentabilidad,Clima,Demanda de Mercado,Proyección Precio Temporada Siguiente,Observaciones,Línea Productiva
2023-08-22,2023-Invierno,Trigo,Parcela E,Cosecha,911,1.05,956.55,343,613.55,Soleado,Alta,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-10-23,2023-Invierno,Maíz,Parcela E,Siembra,0,0,0,172,-172,Soleado,Baja,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Grano
2023-02-24,2023-Verano,Trigo,Parcela B,Mantenimiento,0,0,0,496,-496,Nublado,Media,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-02-09,2023-Verano,Plátano,Parcela D,Siembra,0,0,0,483,-483,Nublado,Baja,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela D.",Tropicales
2023-12-28,2023-Invierno,Trigo,Parcela A,Mantenimiento,0,0,0,210,-210,Soleado,Media,0.95,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Grano
2023-09-20,2023-Invierno,Plátano,Parcela A,Siembra,0,0,0,500,-500,Lluvioso,Alta,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-12-15,2023-Invierno,Trigo,Parcela A,Cosecha,670,1.03,690.1,250,440.1,Nublado,Baja,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Grano
2023-04-30,2023-Verano,Maíz,Parcela C,Siembra,0,0,0,238,-238,Lluvioso,Baja,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-01-25,2023-Verano,Café,Parcela C,Mantenimiento,0,0,0,236,-236,Soleado,Alta,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-05-25,2023-Verano,Soya,Parcela C,Siembra,0,0,0,324,-324,Nublado,Baja,1.2,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela C.",Oleaginosas
2023-10-29,2023-Invierno,Plátano,Parcela C,Cosecha,960,0.59,566.4,351,215.4,Soleado,Media,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-08-22,2023-Invierno,Maíz,Parcela E,Cosecha,326,0.89,290.14,319,-28.86,Lluvioso,Alta,0.85,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-08-04,2023-Invierno,Trigo,Parcela D,Siembra,0,0,0,432,-432,Soleado,Media,0.95,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-08-11,2023-Invierno,Café,Parcela D,Mantenimiento,0,0,0,280,-280,Lluvioso,Alta,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-04-28,2023-Verano,Plátano,Parcela E,Cosecha,635,0.78,495.3,244,251.3,Soleado,Baja,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-07-29,2023-Invierno,Soya,Parcela C,Mantenimiento,0,0,0,273,-273,Soleado,Media,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-12-05,2023-Invierno,Café,Parcela E,Mantenimiento,0,0,0,283,-283,Nublado,Baja,5.1,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-06-30,2023-Verano,Café,Parcela B,Cosecha,759,5.01,3802.59,356,3446.59,Soleado,Media,5.1,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-07-11,2023-Invierno,Maíz,Parcela C,Cosecha,576,0.71,408.96,407,1.96,Soleado,Media,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Grano
2023-03-07,2023-Verano,Plátano,Parcela A,Mantenimiento,0,0,0,192,-192,Lluvioso,Media,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-01-04,2023-Verano,Trigo,Parcela A,Mantenimiento,0,0,0,251,-251,Lluvioso,Baja,0.95,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-05-25,2023-Verano,Maíz,Parcela B,Mantenimiento,0,0,0,337,-337,Lluvioso,Alta,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-03-20,2023-Verano,Trigo,Parcela D,Mantenimiento,0,0,0,322,-322,Nublado,Media,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-03-06,2023-Verano,Soya,Parcela A,Siembra,0,0,0,468,-468,Lluvioso,Media,1.2,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-12-09,2023-Invierno,Plátano,Parcela A,Cosecha,712,0.86,612.32,455,157.32,Nublado,Baja,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Tropicales
2023-01-11,2023-Verano,Soya,Parcela D,Mantenimiento,0,0,0,278,-278,Lluvioso,Media,1.2,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Oleaginosas
2023-07-21,2023-Invierno,Plátano,Parcela D,Cosecha,456,0.92,419.52,428,-8.48,Soleado,Media,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-07-13,2023-Invierno,Maíz,Parcela B,Mantenimiento,0,0,0,482,-482,Soleado,Baja,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Grano
2023-01-23,2023-Verano,Café,Parcela A,Mantenimiento,0,0,0,368,-368,Soleado,Media,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-04-18,2023-Verano,Maíz,Parcela D,Cosecha,960,0.8,768.0,295,473.0,Soleado,Baja,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-12-08,2023-Invierno,Soya,Parcela B,Siembra,0,0,0,449,-449,Lluvioso,Baja,1.2,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela B.",Oleaginosas
2023-08-26,2023-Invierno,Trigo,Parcela E,Cosecha,657,0.86,565.02,413,152.02,Nublado,Alta,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-06-22,2023-Verano,Café,Parcela A,Mantenimiento,0,0,0,241,-241,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-01-10,2023-Verano,Café,Parcela C,Siembra,0,0,0,484,-484,Lluvioso,Baja,5.1,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-07-22,2023-Invierno,Plátano,Parcela B,Cosecha,517,0.66,341.22,382,-40.78,Nublado,Baja,0.75,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-08-15,2023-Invierno,Plátano,Parcela B,Siembra,0,0,0,247,-247,Nublado,Media,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-09-03,2023-Invierno,Plátano,Parcela B,Mantenimiento,0,0,0,222,-222,Nublado,Baja,0.75,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-10-23,2023-Invierno,Café,Parcela A,Siembra,0,0,0,363,-363,Lluvioso,Media,5.1,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-07-04,2023-Invierno,Trigo,Parcela D,Cosecha,701,0.78,546.78,185,361.78,Nublado,Baja,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-08-20,2023-Invierno,Trigo,Parcela A,Cosecha,511,1.14,582.54,355,227.54,Soleado,Alta,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Grano
2023-11-22,2023-Invierno,Soya,Parcela A,Siembra,0,0,0,240,-240,Lluvioso,Baja,1.2,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Oleaginosas
2023-02-24,2023-Verano,Trigo,Parcela A,Cosecha,690,0.78,538.2,333,205.2,Nublado,Baja,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Grano
2023-07-23,2023-Invierno,Café,Parcela C,Mantenimiento,0,0,0,165,-165,Nublado,Alta,5.1,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Tropicales
2023-11-10,2023-Invierno,Maíz,Parcela E,Siembra,0,0,0,325,-325,Lluvioso,Media,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-08-01,2023-Invierno,Maíz,Parcela E,Siembra,0,0,0,400,-400,Nublado,Media,0.85,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-08-13,2023-Invierno,Café,Parcela E,Cosecha,657,5.18,3403.26,354,3049.26,Lluvioso,Baja,5.1,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-07-24,2023-Invierno,Soya,Parcela C,Mantenimiento,0,0,0,380,-380,Lluvioso,Alta,1.2,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Oleaginosas
2023-05-31,2023-Verano,Plátano,Parcela B,Cosecha,371,0.62,230.02,256,-25.98,Lluvioso,Alta,0.75,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Tropicales
2023-10-08,2023-Invierno,Soya,Parcela C,Cosecha,408,1.39,567.12,309,258.12,Soleado,Media,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-02-21,2023-Verano,Café,Parcela B,Mantenimiento,0,0,0,284,-284,Nublado,Alta,5.1,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-06-18,2023-Verano,Maíz,Parcela B,Siembra,0,0,0,390,-390,Nublado,Media,0.85,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Grano
2023-08-07,2023-Invierno,Trigo,Parcela A,Siembra,0,0,0,153,-153,Lluvioso,Media,0.95,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-12-25,2023-Invierno,Soya,Parcela E,Cosecha,972,1.06,1030.32,196,834.32,Nublado,Media,1.2,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Oleaginosas
2023-11-25,2023-Invierno,Trigo,Parcela E,Cosecha,399,0.82,327.18,254,73.18,Lluvioso,Baja,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-07-19,2023-Invierno,Maíz,Parcela B,Mantenimiento,0,0,0,386,-386,Lluvioso,Alta,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-12-09,2023-Invierno,Plátano,Parcela C,Mantenimiento,0,0,0,292,-292,Nublado,Alta,0.75,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Tropicales
2023-10-21,2023-Invierno,Soya,Parcela D,Cosecha,329,1.3,427.7,342,85.7,Lluvioso,Baja,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela D.",Oleaginosas
2023-11-28,2023-Invierno,Trigo,Parcela A,Siembra,0,0,0,264,-264,Nublado,Baja,0.95,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela A.",Grano
2023-03-10,2023-Verano,Maíz,Parcela D,Mantenimiento,0,0,0,330,-330,Soleado,Baja,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-02-27,2023-Verano,Trigo,Parcela B,Cosecha,329,1.09,358.61,486,-127.39,Soleado,Media,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Grano
2023-08-24,2023-Invierno,Trigo,Parcela D,Mantenimiento,0,0,0,327,-327,Nublado,Baja,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela D.",Grano
2023-12-25,2023-Invierno,Maíz,Parcela D,Mantenimiento,0,0,0,454,-454,Soleado,Baja,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-10-14,2023-Invierno,Soya,Parcela B,Mantenimiento,0,0,0,392,-392,Soleado,Media,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-01-24,2023-Verano,Plátano,Parcela E,Mantenimiento,0,0,0,204,-204,Nublado,Alta,0.75,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-04-10,2023-Verano,Café,Parcela E,Mantenimiento,0,0,0,419,-419,Nublado,Baja,5.1,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela E.",Tropicales
2023-02-22,2023-Verano,Café,Parcela B,Siembra,0,0,0,281,-281,Nublado,Media,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-03-28,2023-Verano,Trigo,Parcela B,Cosecha,685,0.81,554.85,327,227.85,Lluvioso,Baja,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-04-14,2023-Verano,Trigo,Parcela E,Cosecha,405,1.03,417.15,483,-65.85,Nublado,Media,0.95,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Grano
2023-01-12,2023-Verano,Café,Parcela B,Siembra,0,0,0,204,-204,Nublado,Alta,5.1,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-11-27,2023-Invierno,Plátano,Parcela A,Mantenimiento,0,0,0,409,-409,Lluvioso,Media,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-01-21,2023-Verano,Maíz,Parcela A,Mantenimiento,0,0,0,404,-404,Nublado,Baja,0.85,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela A.",Grano
2023-07-04,2023-Invierno,Café,Parcela A,Mantenimiento,0,0,0,469,-469,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-08-01,2023-Invierno,Plátano,Parcela C,Mantenimiento,0,0,0,152,-152,Lluvioso,Media,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-05-15,2023-Verano,Plátano,Parcela C,Mantenimiento,0,0,0,322,-322,Nublado,Media,0.75,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Tropicales
2023-08-11,2023-Invierno,Plátano,Parcela B,Siembra,0,0,0,222,-222,Nublado,Baja,0.75,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-06-18,2023-Verano,Café,Parcela D,Siembra,0,0,0,339,-339,Lluvioso,Baja,5.1,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-04-08,2023-Verano,Maíz,Parcela C,Cosecha,814,1.05,854.7,429,425.7,Nublado,Baja,0.85,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-11-23,2023-Invierno,Café,Parcela E,Siembra,0,0,0,430,-430,Lluvioso,Baja,5.1,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-03-29,2023-Verano,Soya,Parcela D,Siembra,0,0,0,346,-346,Soleado,Alta,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Oleaginosas
2023-05-23,2023-Verano,Soya,Parcela C,Cosecha,845,1.28,1081.6,354,727.6,Soleado,Media,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-01-27,2023-Verano,Maíz,Parcela D,Mantenimiento,0,0,0,309,-309,Soleado,Baja,0.85,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-08-11,2023-Invierno,Trigo,Parcela C,Mantenimiento,0,0,0,439,-439,Lluvioso,Alta,0.95,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-08-07,2023-Invierno,Café,Parcela C,Mantenimiento,0,0,0,455,-455,Lluvioso,Media,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Tropicales
2023-02-21,2023-Verano,Plátano,Parcela E,Cosecha,287,0.72,206.64,401,-194.36,Soleado,Alta,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-07-15,2023-Invierno,Maíz,Parcela B,Cosecha,808,0.65,525.2,411,114.2,Lluvioso,Alta,0.85,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-11-12,2023-Invierno,Plátano,Parcela E,Mantenimiento,0,0,0,308,-308,Lluvioso,Baja,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-05-15,2023-Verano,Trigo,Parcela C,Cosecha,787,1.13,889.31,152,737.31,Soleado,Media,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela C.",Grano
2023-12-14,2023-Invierno,Maíz,Parcela C,Mantenimiento,0,0,0,218,-218,Lluvioso,Alta,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-10-18,2023-Invierno,Trigo,Parcela C,Siembra,0,0,0,350,-350,Nublado,Baja,0.95,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-08-21,2023-Invierno,Plátano,Parcela D,Cosecha,372,0.86,319.92,196,123.92,Lluvioso,Media,0.75,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-09-17,2023-Invierno,Plátano,Parcela E,Siembra,0,0,0,166,-166,Soleado,Alta,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-03-15,2023-Verano,Plátano,Parcela C,Siembra,0,0,0,287,-287,Soleado,Alta,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-01-16,2023-Verano,Soya,Parcela E,Siembra,0,0,0,189,-189,Nublado,Baja,1.2,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela E.",Oleaginosas
2023-02-05,2023-Verano,Trigo,Parcela E,Mantenimiento,0,0,0,160,-160,Lluvioso,Baja,0.95,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-10-25,2023-Invierno,Soya,Parcela E,Siembra,0,0,0,428,-428,Soleado,Media,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela E.",Oleaginosas
2023-03-05,2023-Verano,Soya,Parcela B,Siembra,0,0,0,457,-457,Soleado,Media,1.2,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Oleaginosas
2023-11-25,2023-Invierno,Maíz,Parcela D,Cosecha,323,0.77,248.71,308,-59.29,Soleado,Baja,0.85,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-05-03,2023-Verano,Trigo,Parcela E,Cosecha,491,1.14,559.74,490,69.74,Lluvioso,Alta,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-10-20,2023-Invierno,Maíz,Parcela C,Siembra,0,0,0,493,-493,Lluvioso,Baja,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-01-20,2023-Verano,Soya,Parcela C,Mantenimiento,0,0,0,156,-156,Nublado,Alta,1.2,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Oleaginosas
2023-09-08,2023-Invierno,Plátano,Parcela A,Cosecha,516,0.87,448.92,246,202.92,Soleado,Alta,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-03-20,2023-Verano,Trigo,Parcela D,Cosecha,732,1.12,819.84,390,429.84,Soleado,Baja,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-11-18,2023-Invierno,Plátano,Parcela E,Mantenimiento,0,0,0,188,-188,Soleado,Media,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela E.",Tropicales
2023-11-22,2023-Invierno,Plátano,Parcela B,Cosecha,369,0.57,210.33,161,49.33,Soleado,Baja,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela B.",Tropicales
2023-07-06,2023-Invierno,Soya,Parcela C,Mantenimiento,0,0,0,269,-269,Soleado,Baja,1.2,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Oleaginosas
2023-02-22,2023-Verano,Soya,Parcela A,Siembra,0,0,0,247,-247,Nublado,Media,1.2,"Actividad de siembra bajo clima nublado, relacionado con parcela Parcela A.",Oleaginosas
2023-05-14,2023-Verano,Maíz,Parcela C,Cosecha,989,0.9,890.1,195,695.1,Lluvioso,Alta,0.85,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-03-01,2023-Verano,Plátano,Parcela E,Cosecha,816,0.82,669.12,171,498.12,Lluvioso,Alta,0.75,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-01-27,2023-Verano,Soya,Parcela A,Mantenimiento,0,0,0,493,-493,Nublado,Media,1.2,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela A.",Oleaginosas
2023-01-13,2023-Verano,Maíz,Parcela B,Mantenimiento,0,0,0,379,-379,Lluvioso,Media,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela B.",Grano
2023-03-01,2023-Verano,Trigo,Parcela D,Siembra,0,0,0,152,-152,Soleado,Media,0.95,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela D.",Grano
2023-12-17,2023-Invierno,Maíz,Parcela C,Mantenimiento,0,0,0,360,-360,Nublado,Baja,0.85,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-01-31,2023-Verano,Plátano,Parcela A,Cosecha,888,0.67,594.96,479,115.96,Soleado,Baja,0.75,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-03-01,2023-Verano,Maíz,Parcela B,Siembra,0,0,0,201,-201,Soleado,Baja,0.85,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela B.",Grano
2023-11-29,2023-Invierno,Maíz,Parcela A,Mantenimiento,0,0,0,425,-425,Lluvioso,Baja,0.85,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Grano
2023-11-21,2023-Invierno,Soya,Parcela C,Cosecha,392,1.16,454.72,214,240.72,Lluvioso,Alta,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela C.",Oleaginosas
2023-09-21,2023-Invierno,Soya,Parcela E,Cosecha,878,1.27,1115.06,214,901.06,Nublado,Baja,1.2,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela E.",Oleaginosas
2023-12-30,2023-Invierno,Café,Parcela A,Mantenimiento,0,0,0,389,-389,Soleado,Baja,5.1,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-08-16,2023-Invierno,Café,Parcela A,Mantenimiento,0,0,0,420,-420,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-02-25,2023-Verano,Plátano,Parcela A,Siembra,0,0,0,159,-159,Lluvioso,Alta,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-01-15,2023-Verano,Trigo,Parcela D,Mantenimiento,0,0,0,308,-308,Lluvioso,Media,0.95,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela D.",Grano
2023-07-11,2023-Invierno,Trigo,Parcela C,Mantenimiento,0,0,0,461,-461,Nublado,Baja,0.95,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Grano
2023-05-09,2023-Verano,Soya,Parcela E,Cosecha,928,1.37,1271.36,333,938.36,Lluvioso,Media,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Oleaginosas
2023-08-16,2023-Invierno,Soya,Parcela C,Mantenimiento,0,0,0,495,-495,Nublado,Baja,1.2,"Actividad de mantenimiento bajo clima nublado, relacionado con parcela Parcela C.",Oleaginosas
2023-02-24,2023-Verano,Soya,Parcela D,Cosecha,327,1.2,392.4,481,-88.6,Lluvioso,Media,1.2,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela D.",Oleaginosas
2023-01-20,2023-Verano,Trigo,Parcela E,Siembra,0,0,0,252,-252,Lluvioso,Media,0.95,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-05-24,2023-Verano,Maíz,Parcela C,Siembra,0,0,0,153,-153,Lluvioso,Alta,0.85,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela C.",Grano
2023-10-20,2023-Invierno,Trigo,Parcela A,Cosecha,912,0.92,839.04,468,371.04,Soleado,Media,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela A.",Grano
2023-07-09,2023-Invierno,Plátano,Parcela D,Siembra,0,0,0,341,-341,Lluvioso,Alta,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela D.",Tropicales
2023-11-21,2023-Invierno,Plátano,Parcela E,Siembra,0,0,0,449,-449,Lluvioso,Baja,0.75,"Actividad de siembra bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-04-04,2023-Verano,Plátano,Parcela C,Mantenimiento,0,0,0,420,-420,Soleado,Alta,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela C.",Tropicales
2023-08-15,2023-Invierno,Trigo,Parcela E,Cosecha,698,0.76,530.48,362,168.48,Lluvioso,Baja,0.95,"Actividad de cosecha bajo clima lluvioso, relacionado con parcela Parcela E.",Grano
2023-11-23,2023-Invierno,Café,Parcela B,Cosecha,484,5.01,2424.84,498,1926.84,Nublado,Media,5.1,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela B.",Tropicales
2023-01-12,2023-Verano,Plátano,Parcela A,Mantenimiento,0,0,0,447,-447,Lluvioso,Alta,0.75,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela A.",Tropicales
2023-09-20,2023-Invierno,Soya,Parcela A,Cosecha,595,1.32,785.4,471,314.4,Nublado,Baja,1.2,"Actividad de cosecha bajo clima nublado, relacionado con parcela Parcela A.",Oleaginosas
2023-05-22,2023-Verano,Plátano,Parcela D,Mantenimiento,0,0,0,169,-169,Soleado,Baja,0.75,"Actividad de mantenimiento bajo clima soleado, relacionado con parcela Parcela D.",Tropicales
2023-06-05,2023-Verano,Plátano,Parcela A,Siembra,0,0,0,432,-432,Soleado,Baja,0.75,"Actividad de siembra bajo clima soleado, relacionado con parcela Parcela A.",Tropicales
2023-03-31,2023-Verano,Café,Parcela E,Mantenimiento,0,0,0,452,-452,Lluvioso,Baja,5.1,"Actividad de mantenimiento bajo clima lluvioso, relacionado con parcela Parcela E.",Tropicales
2023-01-10,2023-Verano,Soya,Parcela E,Cosecha,329,1.33,437.57,276,161.57,Soleado,Alta,1.2,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Oleaginosas
2023-06-27,2023-Verano,Trigo,Parcela E,Cosecha,795,1.04,826.8,363,463.8,Soleado,Media,0.95,"Actividad de cosecha bajo clima soleado, relacionado con parcela Parcela E.",Grano
